State ,GSDP,Energy 
Andhra Pradesh ,809547.00,157
Assam,288494.00,29
Bihar,484740.00,70
Chhattisgarh,284194.00,75
Delhi,690098.00,102
Goa,70493.00,9
Gujarat,1314680.00,250
Haryana,626054.00,161
Himachal Pradesh,140613.00,25
Jammu and Kashmir (state),138488.00,34
Jharkhand,276243.00,21
Karnataka,1350257.00,172
Kerala,700532.00,63
Madhya Pradesh,728242.00,134
Maharashtra,2411600.00,368
Manipur,23968.00,2
Mizoram,19457.00,1
Nagaland,24281.00,2
Odisha,436374.00,77
Puducherry,32962.00,7
Punjab,479141.00,201
Rajasthan,835558.00,160
Sikkim,23495.00,1
Tamil Nadu,1461841.00,297
Telangana,753811.00,161
Uttar Pradesh,1376324.00,296
Uttarakhand,222836.00,38
West Bengal,999585.00,155
