State/Union territory,2011Ð12,2012Ð13,2013Ð14,2014Ð15,2015Ð16,2016Ð17,2017Ð18,2018Ð19,2019Ð20
,2012,2013,2014,2015,2016,2017,2018,2019,2020
ÊIndia,"87,36,039","99,46,636","1,12,36,635","1,24,33,749","1,36,75,331","1,52,51,028","1,70,95,005","1,90,10,164",
Andhra Pradesh,"3,79,402","4,11,404","4,64,272","5,24,976","6,04,229","6,97,508","8,09,547","9,33,402","10,80,657"
Arunachal Pradesh,"11,063","12,547","14,581","17,959","18,509","19,627","22,045",,
Assam,"1,43,175","1,56,864","1,77,745","1,95,723","2,27,959","2,54,478","2,88,494",,"3,74,096"
Bihar,"2,47,144","2,82,368","3,17,101","3,42,951","3,71,602","4,22,316","4,84,740","5,57,490","5,72,827"
Chhattisgarh,"1,58,074","1,77,511","2,06,833","2,21,118","2,27,383","2,54,722","2,84,194","3,11,660","3,63,900"
Goa,"42,367","38,120","35,921","47,814","55,054","63,460","70,493","77,172",
Gujarat,"6,15,606","7,24,495","8,07,623","9,21,773","10,29,010","11,53,327","13,14,680","14,99,013","17,01,495"
Haryana,"2,97,539","3,47,032","3,99,268","4,37,145","4,95,249","5,56,325","6,26,054","7,07,126","7,84,910"
Himachal Pradesh,"72,720","82,820","94,764","1,03,772","1,14,239","1,25,634","1,40,613","1,53,181","1,68,972"
Jammu and Kashmir,"78,256","87,138","95,619","98,370","1,17,168","1,25,379","1,38,488",,
Jharkhand,"1,50,918","1,74,724","1,88,567","2,18,525","2,06,613","2,36,250","2,76,243","3,07,581","3,29,726"
Karnataka,"6,06,048","6,95,413","8,16,666","9,13,923","10,45,168","12,09,136","13,50,257","15,35,224","15,88,303"
Kerala,"3,64,048","4,12,313","4,65,041","5,12,564","5,61,994","6,34,871","7,00,532","8,75,514",
Madhya Pradesh,"3,15,562","3,80,925","4,39,483","4,79,939","5,41,189","6,48,849","7,28,242","8,09,327","9,62,430"
Maharashtra,"12,80,369","14,59,629","16,49,647","17,79,138","19,66,147","21,88,532","24,11,600","26,56,551","29,79,556"
Manipur,"12,915","13,743","16,182","18,129","19,531","21,294","23,968",,
Meghalaya,"19,918","21,872","22,938","23,235","25,117","27,439","30,790",,
Mizoram,"7,259","8,362","10,293","13,509","15,139","17,192","19,457",,
Nagaland,"12,177","14,121","16,612","18,401","19,524","21,722","24,281",,
Odisha,"2,30,987","2,61,700","2,96,475","3,14,250","3,28,550","3,93,808","4,36,374","4,85,376","5,40,812"
Punjab,"2,66,628","2,97,734","3,32,147","3,55,102","3,90,087","4,26,988","4,79,141","5,21,861","5,77,829"
Rajasthan,"4,34,837","4,93,551","5,61,031","6,15,642","6,81,485","7,58,809","8,35,558","9,29,124",
Sikkim,"11,165","12,338","13,862","15,407","18,034","20,687","23,495","26,786",
Tamil Nadu,"7,51,486","8,54,825","9,68,530","10,72,678","11,76,500","13,02,639","14,61,841","16,64,159","17,25,639"
Telangana,"3,59,434","4,01,594","4,51,580","5,05,849","5,77,902","6,59,033","7,53,811","8,65,688","9,69,604"
Tripura,"19,208","21,663","25,593","29,533","35,938","39,612","46,133",,
Uttar Pradesh,"7,24,050","8,22,393","9,40,356","10,11,790","11,37,210","12,48,374","13,76,324","15,42,432","15,79,807"
Uttarakhand,"1,15,328","1,31,613","1,49,074","1,61,439","1,77,163","1,95,125","2,22,836","2,45,895","2,63,233"
West Bengal,"5,20,485","5,91,464","6,76,848","7,18,082","7,97,300","8,72,527","9,99,585","11,77,586","13,14,529"
Andaman and Nicobar Islands,"3,978","4,421","5,023","5,477","6,032","6,836","7,871",,
Chandigarh,"18,768","21,609","24,822","26,549","29,280","32,741","38,806",,
Delhi,"3,43,798","3,91,388","4,43,960","4,94,803","5,50,804","6,15,605","6,90,098","7,79,652",
Puducherry,"16,818","18,875","21,870","22,574","26,617","29,573","32,962","36,656",
