Rev. 6-10-97 by: P. D. Noerdlinger,using 1996 Astr. Almanac; A.A. Suppl.;IERS Stds;DMA WGS84 manual
EarthTag                      Semi-Major Axis  Semi-Minor Axis
WGS84                          6378137.0000    6356752.3142450
WGS-84                         6378137.0000    6356752.3142450
MERIT-1983                     6378137.0000    6356752.2982160
GRS-1980                       6378137.0000    6356752.3141400
Helmert                        6378200.0000    6356818.1696279
Hough                          6378270.0000    6356794.3434343
IAU-1976                       6378140.0000    6356755.2881580
GEM-8                          6378145.0000    6356760.1279950
GEM-9                          6378140.0000    6356755.1447590
GEM-10                         6378140.0000    6356755.1447590
GEM-10B                        6378138.0000    6356753.2948630
GEM-T1                         6378137.0000    6356752.2982160
GEM-T3                         6378137.0000    6356752.2982160
WGS-72                         6378135.0000    6356750.5200160
WGS-66                         6378145.0000    6356759.7694890
GRS-1967                       6378160.0000    6356774.5160910
IUGG-1980                      6378137.0000    6356752.3141400
IUGG-1967                      6378160.0000    6356774.5160600
IERS-1989                      6378136.0000    6356751.3015690
Clarke-1866                    6378206.4000    6356583.8000000
Intl_1967                      6378157.5000    6356772.2000000
Intl_1924                      6378388.0000    6356911.9461280
Intl_1909                      6378388.0000    6356911.9461280
WGS-60                         6378165.0000    6356783.2869594
IAG-1975                       6378140.0000    6356755.2164583
Hayford                        6378388.0000    6356911.9461280
MERIT                          6378137.0000    6356752.2982160
AN                             6378160.0000    6356774.7191950
Australian_Natl                6378160.0000    6356774.7191950
Krassovski_1942                6378245.0000    6356863.0187730
Clarke-1880                    6378249.1450    6356514.8695498
Clarke_1880-Modified           6378249.1450    6356514.9658280
Fischer-1960                   6378166.0000    6356784.2836071
Mercury-1960                   6378166.0000    6356784.2836071
Fischer-1960-Modified          6378155.0000    6356773.3204827
Fischer-1968                   6378150.0000    6356768.3372444
CERES-TOA                      6408137.0000    6386651.7299250
IAU-1964                       6378160.0000    6356774.7191953
GRS-80                         6378137.0000    6356752.3141400
GRS-67                         6378160.0000    6356774.5160910
IUGG-80                        6378137.0000    6356752.3141400
IUGG-67                        6378160.0000    6356774.5160600
WGS-1984                       6378137.0000    6356752.3142450
WGS-1972                       6378135.0000    6356750.5200160
WGS-1966                       6378145.0000    6356759.7694890
WGS-1960                       6378165.0000    6356783.2869594
Walbeck                        6376896.0000    6355834.8467000
Bessel-1841                    6377397.1550    6356078.9628182
Everest-1830                   6377276.3452    6356075.4133000
Everest-1830-Modified          6377304.0630    6356103.0390000
Everest-1830-Boni-alternate    6377301.2430    6356100.2283681
Krassovski_1942                6378245.0000    6356863.0187730
Krassovsky                     6378245.0000    6356863.0187730
Krasovsky                      6378245.0000    6356863.0187730
Krassovsky_1942                6378245.0000    6356863.0187730
SA-1969                        6378160.0000    6356774.7191953
Airy-1830                      6377563.3960    6356256.9092373
Airy-modified                  6377340.1890    6356034.4479385
new_intl                       6378157.5000    6356772.2000000
GCT-Sphere                     6370997.0000    6370997.0000   
SGS-85                         6378136.0000    6356751.3015690
CERES-MEAN-TOA                 6401315.0000    6401315.0000000
