Year,Power Consumption 
1971,97.7727187
1972,100.305074
1973,100.632154
1974,103.992657
1975,114.558928
1976,124.123691
1977,126.256732
1978,135.917642
1979,135.741773
1980,141.7077
1981,151.87906
1982,158.09991
1983,165.687486
1984,183.301873
1985,193.534854
1986,207.976495
1987,220.220741
1988,240.025621
1989,257.039736
1990,272.063484
1991,290.899578
1992,304.431831
1993,320.550747
1994,341.231361
1995,358.762212
1996,359.816273
1997,375.485052
1998,385.863988
1999,392.039692
2000,393.646247
2001,393.810201
2002,410.644783
2003,430.483164
2004,451.61155
2005,468.025753
2006,509.214055
2007,541.738395
2008,561.24758
2009,598.498243
2010,640.394603
2011,696.842241
2012,723.235461
2013,764.198742
2014,804.514228
